ID	Price	Diện tích (m2)	Latitude	Longitude	Cơ sở - tiện tích	Số phòng
2377	1.7749523509116738	4.204692619390966	10.8507325	106.7817125	2	9.0
510	2.028148247292285	3.044522437723423	10.7560847	106.7024878	2	6.0
1748	2.3702437414678603	4.477336814478207	10.7629426	106.6867982	1	8.0
405	1.7047480922384253	3.5553480614894135	10.8159197	106.6952001	1	4.0
935	2.5649493574615367	3.6888794541139363	10.8538209	106.7617984	2	8.0
1018	2.302585092994046	3.9889840465642745	10.8246392	106.8232402	2	7.0
1135	1.5040773967762742	3.58351893845611	10.83107955	106.6771629	2	8.0
1439	0.30010459245033816	4.30406509320417	11.554872450000001	105.8830703	1	10.0
1880	0.5877866649021191	4.0943445622221	21.0764202	105.8260943	2	7.0
1326	0.5766133643039938	3.6888794541139363	20.87025835	106.65723735	1	7.0
1845	1.713797927758343	4.442651256490317	21.4063898	103.0321549	3	7.0
1621	2.8622008809294686	5.153291594497779	10.8364557	106.8415369	1	4.0
631	1.1939224684724346	4.007333185232471	10.8708478	106.6283941	1	4.0
1388	1.0784095813505903	5.598421958998375	10.78326515	106.65874665	3	54.0
2093	0.7884573603642703	3.6888794541139363	10.8003172	106.6924832	3	8.0
408	1.1939224684724346	5.231108616854587	10.9406405	106.5398252	3	5.0
2016	2.0541237336955462	3.912023005428146	11.2541841	106.6018569	1	8.0
249	1.1939224684724346	4.0943445622221	20.9979513	105.82411375	2	11.0
1484	1.1631508098056809	3.6888794541139363	10.8743126	106.7366019	1	4.0
1235	1.7578579175523736	4.532599493153256	21.0068975	105.8715997	2	9.0
2182	1.7227665977411035	5.560681631015528	10.9083435	106.59298735	1	7.0
1548	1.2809338454620642	3.4657359027997265	21.0055267	105.7791327	1	9.0
371	1.1631508098056809	3.258096538021482	21.00887435	105.82195404999999	1	5.0
2217	1.1151415906193203	4.02535169073515	11.46575015	106.67702935	1	8.0
1121	1.308332819650179	3.9512437185814275	10.7865274	106.6367768	1	8.0
1503	1.6486586255873816	4.605170185988092	16.0360087	108.2292407	2	8.0
331	1.3737155789130306	5.375278407684165	21.0168937	105.7675924	1	8.0
547	1.7749523509116738	4.499809670330265	21.02438925	105.8280248	1	16.0
1707	1.7047480922384253	4.31748811353631	21.1306498	105.5052484	1	8.0
2043	0.6151856390902335	3.6888794541139363	21.0248943	105.83618165	1	8.0
667	1.9459101490553132	3.9318256327243257	10.8637312	106.7794935	1	4.0
1859	1.547562508716013	4.382026634673881	11.5888157	105.82511165	2	56.0
977	2.066862759472976	3.58351893845611	21.0124574	105.82792545	2	7.0
1726	2.6100697927420065	3.5553480614894135	20.9898009	105.7615252	2	8.0
2295	0.6418538861723947	4.174387269895637	10.83982455	105.90582475	1	6.0
2401	1.308332819650179	3.5553480614894135	20.9984932	105.8377112	2	11.0
1080	1.7749523509116738	3.58351893845611	21.0104989	105.9096443	2	8.0
287	2.833213344056216	4.787491742782046	16.0799292	108.2299646	2	12.0
1811	1.0647107369924282	4.174387269895637	10.735931350000001	106.61617050000001	2	8.0
2208	1.5040773967762742	3.6888794541139363	21.0172845	105.8492584	2	8.0
1377	1.1939224684724346	4.499809670330265	20.8335988	106.692461	1	6.5
1218	1.7578579175523736	4.574710978503383	10.827728449999999	106.6927821	2	8.0
2301	1.220829921392359	3.5553480614894135	10.7410591	106.6189535	1	8.0
1428	0.6931471805599453	3.970291913552122	20.95603285	105.78536905	1	3.0
1660	1.5686159179138452	4.499809670330265	11.510393	107.93512725	1	2.0
1683	1.7404661748405046	3.5553480614894135	21.0275284	105.804122	2	9.0
2186	2.0149030205422647	4.174387269895637	21.0483222	105.92311805	1	6.0
928	1.308332819650179	4.31748811353631	10.8342509	106.67791	2	8.0
418	1.5260563034950492	5.0106352940962555	10.7709043	106.5515576	1	5.0
1853	1.252762968495368	4.499809670330265	20.8361011	106.7011455	1	6.0
242	1.4816045409242156	3.871201010907891	10.7227658	106.6110909	2	6.0
927	2.3513752571634776	4.0943445622221	10.9278268	106.90328425	1	6.0
1025	1.6863989535702288	3.9318256327243257	10.7639081	106.6365903	2	8.0
1544	1.4350845252893227	3.7376696182833684	21.0695076	105.8378366	1	16.0
2068	1.5789787049493917	5.717027701406222	21.0858175	105.9177869	1	8.0
1191	2.6390573296152584	3.9318256327243257	21.0142451	105.8316192	1	6.0
964	1.840549633397487	3.5263605246161616	21.0169547	105.8324708	2	7.0
1074	1.62924053973028	4.110873864173311	10.9814477	106.7201061	2	8.0
1571	3.1135153092103742	4.0943445622221	10.7557614	106.6126331	1	8.0
2216	2.0794415416798357	3.4011973816621555	20.99602085	105.8258203	2	8.0
1159	0.26236426446749106	4.382026634673881	20.983687	105.848156	1	12.0
2065	1.0986122886681098	3.5553480614894135	10.84341505	106.70457865	1	8.0
1608	1.9459101490553132	4.248495242049359	21.03543445	105.82768625	1	8.0
1096	1.2809338454620642	3.4011973816621555	20.755464	105.2457763	2	8.0
44	0.8754687373538999	3.9889840465642745	20.9575663	105.9953774	1	5.0
1456	2.3978952727983707	4.605170185988092	11.0696512	106.7792497	2	7.0
215	1.5040773967762742	4.499809670330265	20.999591	105.8081092	2	27.0
2195	1.4816045409242156	3.912023005428146	10.7843695	106.6844089	1	12.0
1612	1.2947271675944	3.784189633918261	10.8393864	106.65686915	1	7.0
442	1.62924053973028	3.4965075614664802	10.78388035	106.6780962	2	8.0
1945	1.5686159179138452	3.4011973816621555	21.03663415	105.8136127	1	10.0
1700	2.803360380906535	3.912023005428146	21.0250833	105.8398589	1	8.0
1188	1.7578579175523736	3.912023005428146	20.8320066	106.6906356	3	7.0
1684	2.028148247292285	4.382026634673881	10.7797977	106.6174302	1	8.0
1668	2.163323025660538	3.912023005428146	21.0159144	105.8378302	1	6.0
912	2.747270914255491	5.247024072160486	10.7881471	106.6297747	1	4.0
2332	1.7227665977411035	3.8501476017100584	20.9386407	106.8473377	1	8.0
1239	1.4350845252893227	3.4011973816621555	21.0312719	105.7983327	1	7.0
179	2.186051276738094	5.293304824724492	10.8384998	106.6755728	1	8.0
1847	2.330200260027019	4.2626798770413155	10.7660903	106.6418941	1	8.0
1367	2.0412203288596382	4.5217885770490405	10.8802045	106.7612058	1	8.0
1764	1.1474024528375417	4.406719247264253	21.0495394	105.8834124	1	8.0
2035	1.7047480922384253	3.4657359027997265	21.0419601	105.81858995	1	8.0
2125	1.0296194171811581	5.0106352940962555	11.1192477	106.6414958	1	8.0
128	0.9555114450274363	3.58351893845611	21.0044389	105.8279488	3	8.0
1376	1.0647107369924282	4.248495242049359	16.0481266	108.2451784	3	8.0
