ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance_to_center_0	Distance_to_center_1
1639	2.772588722239781	4.143134726391533	1.6094379124341003	1.3862943611198906	1	0	0	1	1.6094379124341003	21.0267244	105.8260172	0	90.92269918234987	1135.4454973682355
193	1.208960345836975	3.6888794541139363	1.0986122886681098	1.0986122886681098	1	0	1	0	1.0986122886681098	10.868443	106.6358805	1	1048.7938343813016	13.24952990512386
21	1.0818051703517284	4.499809670330265	1.0986122886681098	0.6931471805599453	1	0	1	1	0.6931471805599453	10.9238652	106.8240907	1	1043.7130565905697	10.678829091666763
2518	1.4701758451005926	3.912023005428146	1.0986122886681098	0.6931471805599453	0	0	1	0	0.6931471805599453	10.8315251	106.7250541	1	1053.352523560359	4.2743994989018885
1059	2.1972245773362196	3.970291913552122	1.0986122886681098	1.0986122886681098	0	0	1	1	0.6931471805599453	15.4903619	108.6591293	1	593.4697213707237	555.0945038331045
324	1.5040773967762742	4.127134385045092	1.3862943611198906	1.0986122886681098	1	0	1	1	0.6931471805599453	10.7441825	106.6839545	1	1062.8323271233944	14.602670635342918
1484	1.4350845252893227	3.6888794541139363	1.6094379124341003	1.0986122886681098	0	0	1	0	1.6094379124341003	10.8234812	106.6890354	1	1054.050844047583	8.126873709826297
2334	1.2809338454620642	4.04305126783455	1.3862943611198906	1.3862943611198906	0	0	1	1	0.0	10.8014434	106.6109261	1	1056.1249175260002	16.948856433968103
1136	2.0541237336955462	4.330733340286331	1.6094379124341003	1.791759469228055	1	0	1	0	1.6094379124341003	10.8343123	106.667032	1	1052.7355581228562	10.01457296825111
2552	3.044522437723423	4.948759890378168	0.6931471805599453	0.6931471805599453	0	0	1	0	0.0	10.8123005	106.6262677	1	1054.9868791148451	14.967401468713204
844	1.916922612182061	4.02535169073515	1.3862943611198906	1.0986122886681098	1	0	1	0	1.0986122886681098	10.8328429	106.6730964	1	1052.9291998293227	9.41105642980751
2485	1.5040773967762742	3.7612001156935624	1.3862943611198906	1.3862943611198906	1	0	1	0	1.3862943611198906	20.9804342	105.7880155	0	88.21949847991904	1130.6829356025416
1081	1.8870696490323797	4.727387818712341	1.0986122886681098	1.0986122886681098	0	0	0	0	1.9740810260220096	16.4338667	107.5912115	0	453.07985579223225	626.9090294403352
