ID	Log price (1 billion VND)	Log area (square meters)	(Log) Bedrooms	(Log) WC	Parking	For rent	Infrastructure	Facade	(Log) Number of floors	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
4976	1.075002423028976	3.4011973816621555	1.3862943611198906	1.3862943611198906	1	0	1	0	1.0986122886681098	10.7728591	106.6018083	0	31.25626282239471	1124.8974545505566
4977	1.7732559976634952	4.430816798843313	1.3862943611198906	1.3862943611198906	1	0	1	1	1.3862943611198906	10.776189	106.6113201	0	30.378240437529428	1124.593511755805
4978	0.6151856390902335	3.5553480614894135	1.3862943611198906	1.3862943611198906	1	0	1	0	0.6931471805599453	10.7480929	106.6352362	0	31.84590272977678	1127.8798842599933
4979	1.3480731482996928	3.332204510175204	0.6931471805599453	0.6931471805599453	0	0	0	0	0.6931471805599453	10.8492114	106.6501912	0	21.26371099806082	1116.7698179677652
4980	1.916922612182061	4.204692619390966	0.6931471805599453	0.6931471805599453	1	0	0	0	1.3862943611198906	10.7959013	106.6319936	0	27.325743979322713	1122.5520401163024
4981	2.772588722239781	5.298317366548036	1.3862943611198906	1.6094379124341003	0	0	1	1	1.3862943611198906	10.8273729	106.7290825	0	20.222545515694193	1119.805778846276
4982	1.2237754316221157	3.332204510175204	1.0986122886681098	1.3862943611198906	0	0	0	0	1.6094379124341003	21.0353698	105.8192143	1	1119.6754046989918	21.657861827397195
4983	1.5040773967762742	4.007333185232471	1.3862943611198906	1.0986122886681098	1	0	1	0	1.0986122886681098	10.9239845	106.8049789	0	10.363175395619676	1109.7488193384447
4984	2.760009940032921	3.784189633918261	1.6094379124341003	1.6094379124341003	1	1	0	0	1.916922612182061	21.0348918	105.844954	1	1119.3793211037523	20.36016808107448
4985	1.62924053973028	4.5217885770490405	1.3862943611198906	1.3862943611198906	0	0	0	1	1.0986122886681098	22.3407143	103.8407273	1	1297.9689460303223	270.74767187822295
4986	1.4350845252893227	3.8918202981106265	1.3862943611198906	1.3862943611198906	1	0	1	0	1.0986122886681098	10.8386215	106.673832	0	20.95218408658619	1118.1219844233124
4987	1.62924053973028	4.5217885770490405	1.3862943611198906	1.3862943611198906	0	0	1	0	0.0	22.3363608	103.8437852	1	1297.4221576206885	270.205881139803
4988	2.2512917986064953	4.969813299576001	1.3862943611198906	1.6094379124341003	1	0	0	0	1.3862943611198906	10.8628229	106.7320692	0	16.287140252390866	1115.89953732164
4989	1.824549292051046	4.382026634673881	1.0986122886681098	0.6931471805599453	0	1	1	0	0.6931471805599453	10.7981379	106.710916	0	23.806813928373117	1122.9010979530472
4990	2.8213788864092133	4.454347296253507	1.0986122886681098	1.3862943611198906	1	0	1	1	1.3862943611198906	21.040598	105.868201	1	1119.7975262172315	20.08061108505271
4991	1.589235205116581	3.58351893845611	1.5686159179138452	1.0986122886681098	1	0	1	0	1.0986122886681098	20.993927	105.8314531	1	1114.969955290194	17.103500834386566
4992	1.6054298910365616	3.5263605246161616	1.3862943611198906	1.3862943611198906	0	0	0	1	1.0986122886681098	20.9929386	105.8365934	1	1114.811838029161	16.709062356965195
4993	1.589235205116581	3.58351893845611	1.3862943611198906	1.3862943611198906	1	0	1	0	1.0986122886681098	20.993927	105.8314531	1	1114.969955290194	17.103500834386566
4994	2.3398808777377424	4.382026634673881	1.6094379124341003	1.791759469228055	0	0	1	1	1.3862943611198906	10.7557614	106.6126331	0	32.24452644784632	1126.8694839035559
4995	1.6486586255873816	4.1588830833596715	0.6931471805599453	0.6931471805599453	1	0	0	0	0.6931471805599453	10.7958295	106.6269265	0	27.621595020811053	1122.5238229670208
4996	1.7749523509116738	4.330733340286331	1.3862943611198906	1.3862943611198906	1	0	1	0	1.3862943611198906	10.779357	106.631884	0	28.92407252385692	1124.3869430786435
4997	1.2237754316221157	3.912023005428146	1.3862943611198906	1.3862943611198906	1	0	0	1	1.6094379124341003	20.9823818	105.7780339	1	1114.2138124533828	19.974885474076494
4998	1.252762968495368	4.382026634673881	0.6931471805599453	0.6931471805599453	1	0	1	0	0.0	10.8230989	106.6296638	0	24.927643318350512	1119.5176225569885
4999	1.33500106673234	4.1588830833596715	1.0986122886681098	0.6931471805599453	0	0	1	0	0.9555114450274363	10.8564547	106.7660949	0	16.697545622909946	1116.8913735284507
5000	2.468099531471619	4.382026634673881	1.3862943611198906	1.3862943611198906	0	0	0	1	0.6931471805599453	10.7947047	106.6960934	0	24.594562854246142	1123.1649067895773
5001	1.5260563034950492	3.6888794541139363	1.791759469228055	1.0986122886681098	0	0	0	0	1.0986122886681098	10.8472879	106.6569162	0	21.03480555209956	1117.0331159331483
5002	1.1151415906193203	4.382026634673881	0.6931471805599453	0.6931471805599453	1	0	0	0	0.0	16.0528077	108.1724354	0	581.4854887263427	585.4877383052708
5003	1.62924053973028	4.5217885770490405	1.3862943611198906	1.3862943611198906	0	0	1	1	1.3862943611198906	22.2497168	103.9608091	1	1285.1490689053362	254.79449664892118
5004	1.3297240096314962	3.332204510175204	1.0986122886681098	1.0986122886681098	1	0	1	1	1.3862943611198906	10.8412988	106.6572124	0	21.58148295927636	1117.6997291937168
5005	1.8718021769015913	3.8066624897703196	1.0986122886681098	1.0986122886681098	1	1	1	0	1.6094379124341003	10.7749432	106.6753229	0	27.39502364835155	1125.1968514552013
5006	1.252762968495368	4.31748811353631	1.3862943611198906	1.3862943611198906	0	0	1	0	1.2809338454620642	21.1306498	105.5052484	1	1133.6931544708884	52.57819888062624
5007	2.174751721484161	4.605170185988092	1.3862943611198906	1.3862943611198906	0	1	1	1	0.0	21.0081317	105.9099576	1	1115.8298358341533	15.625403081330548
5008	2.1400661634962708	4.30406509320417	1.3862943611198906	1.6094379124341003	1	0	1	0	1.3862943611198906	10.8587761	106.7777126	0	16.531900472547715	1116.7343154178284
5009	2.6390573296152584	5.634789603169249	1.3862943611198906	1.3862943611198906	0	0	0	0	1.3862943611198906	10.7670756	106.6075906	0	31.45239671623868	1125.5790218903173
5010	1.0986122886681098	3.8918202981106265	1.0986122886681098	1.0986122886681098	0	0	1	0	1.0986122886681098	10.7758992	106.7599925	0	25.645525184694417	1125.769624068963
5011	2.2512917986064953	4.007333185232471	1.0986122886681098	1.3862943611198906	1	0	1	0	1.3862943611198906	20.9823818	105.7780339	1	1114.2138124533828	19.974885474076494
