ID	Log price (1 billion VND)	Log area (square meters)	Bedrooms	WC	Parking	For rent	Infrastructure	Facade	Number of floors	Log usable area (square meters)	Latitude	Longitude	Cluster	Distance to center 0	Distance to center 1
1	2.174751721484161	4.31748811353631	4.0	5.0	0	0	0	1	2.2	5.10594547390058	10.8489499	106.6663471	1	1051.1062112957056	9.852439169868132
2	1.5040773967762742	3.4339872044851463	2.0	2.0	0	1	1	1	1.6	3.903990833730882	10.7581141	106.6731692	1	1061.2302227704606	14.058199464484074
3	1.4701758451005926	3.5553480614894135	5.0	5.0	0	0	1	1	5.0	5.1647859739235145	21.0320524	105.8107846	0	92.15601574235389	1136.1788367339566
4	2.028148247292285	5.5134287461649825	3.0	2.0	1	0	1	1	2.8	6.543048163346141	10.7636625	106.4953031	1	1059.892369548951	30.254303828854308
5	3.258096538021482	4.700480365792417	4.0	4.0	1	0	0	1	4.0	6.0867747269123065	21.0353531	105.8731358	0	89.7695548374741	1135.9726069473577
6	2.3702437414678603	4.941642422609304	15.0	15.0	1	0	1	0	6.2	6.7661917146603505	10.8497536	106.7523353	1	1051.4857027570313	0.6940814626171616
7	1.6094379124341003	5.69035945432406	4.0	3.0	0	0	0	0	1.0	5.69035945432406	21.5936183	105.8225246	0	150.23396699842152	1198.2698940170537
8	1.5686159179138452	4.1588830833596715	3.0	3.0	1	0	1	1	1.6	4.628886712605407	10.7750987	106.5978081	1	1058.9958601504443	19.443540973381708
9	1.3609765531356006	4.0943445622221	4.0	4.0	1	0	1	0	4.0	5.480638923341991	10.8801425	106.6488332	1	1047.5554738173544	12.084107621202177
10	1.9021075263969205	4.127134385045092	4.0	5.0	1	0	1	0	4.0	5.5134287461649825	10.8100714	106.6256809	1	1055.2318737293167	15.107657098355393
11	2.6354795082673745	4.219507705176107	4.0	4.0	0	0	0	0	3.0	5.318119993844216	10.7468867	106.7087256	1	1062.662151989075	13.055942787249668
12	1.547562508716013	4.499809670330265	2.0	2.0	0	0	1	0	1.0	4.499809670330265	10.8292885	106.6143944	1	1053.0463890601147	15.759384228277762
13	1.5040773967762742	3.7612001156935624	4.0	4.0	0	0	1	0	5.0	5.3706380281276624	21.0007979	105.8282783	0	88.23533442843141	1132.5531733033797
14	2.186051276738094	4.605170185988092	3.0	3.0	0	0	1	1	2.0	5.298317366548036	10.8414544	106.6624967	1	1051.9197096988435	10.356375527276425
15	1.7047480922384253	3.871201010907891	3.0	3.0	0	0	0	0	3.0	4.969813299576001	10.8475369	106.6688204	1	1051.275525329874	9.594437636716293
16	1.5040773967762742	3.8501476017100584	4.0	4.0	0	0	1	0	5.0	5.459585514144159	20.9969246	105.8246143	0	88.02312482619314	1132.1585264017917
17	1.410986973710262	4.382026634673881	3.0	3.0	0	0	1	0	3.0	5.480638923341991	16.467397	107.5905326	0	449.5239905194169	630.5874268037905
18	2.3513752571634776	5.3471075307174685	2.0	2.0	0	0	1	1	1.0	5.3471075307174685	10.8683571	106.6059239	1	1048.6685910661643	16.502130218978667
19	1.9154509415706047	3.9512437185814275	4.0	3.0	1	0	1	0	3.0	5.049856007249537	10.6845346	106.749976	1	1069.817002543897	18.919518780234995
20	2.169053700369523	4.127134385045092	2.0	1.0	0	0	1	0	1.2	4.309455941839046	10.7451624	106.7158611	1	1062.8923703893088	12.945239332856888
21	1.0818051703517284	4.499809670330265	3.0	2.0	1	0	1	1	2.0	5.19295685089021	10.9238652	106.8240907	1	1043.7130565905697	10.678829091666763
22	1.410986973710262	3.4011973816621555	4.4	4.4	1	0	1	0	5.0	5.0106352940962555	20.9660302	105.7582699	0	88.4334898650242	1129.3835981399457
23	2.4849066497880004	4.174387269895637	6.0	7.0	0	0	1	1	5.0	5.783825182329737	10.7525615	106.7285234	1	1062.140762980102	11.743430584927756
24	2.7212954278522306	4.499809670330265	4.0	4.0	1	0	1	0	4.0	5.886104031450156	11.1246502	106.458256	1	1019.6576789526146	44.28247479317855
25	2.4849066497880004	4.174387269895637	4.0	5.0	0	0	1	1	4.0	5.560681631015528	10.7505288	106.7361953	1	1062.4097969309842	11.776623834615135
26	2.0149030205422647	7.438383530044307	2.0	1.0	0	1	1	1	1.0	7.438383530044307	16.0488355	108.1723736	0	515.3497785402617	597.5164836170457
27	2.272125885509337	4.787491742782046	6.0	7.0	1	0	1	0	3.0	5.886104031450156	10.727545	106.733066	1	1064.9443272198175	14.351834845908469
28	1.6094379124341003	4.143134726391533	4.0	4.0	1	1	1	0	2.6	5.098646171418969	10.7995423	106.6066564	1	1056.3176235488922	17.459694868509086
29	2.917770732084279	4.584967478670572	4.0	3.0	1	0	0	1	3.0	5.683579767338681	10.7939837	106.7054793	1	1057.4140840917596	8.734316245755025
30	1.5686159179138452	3.4011973816621555	3.0	3.0	1	0	0	0	4.0	4.787491742782046	10.7917602	106.6554655	1	1057.4055522413616	13.048213748956382
31	1.0818051703517284	3.6888794541139363	2.0	2.0	0	0	0	0	2.0	4.382026634673881	10.868942	106.654329	1	1048.8262722308032	11.258789736267694
32	1.5040773967762742	4.04305126783455	4.0	4.0	0	0	0	1	3.2	5.206202077640231	20.9996942	105.8209239	0	88.47186322625191	1132.4999038950652
33	1.824549292051046	3.7612001156935624	2.0	2.0	0	0	1	0	2.0	4.454347296253507	10.7482002	106.699691	1	1062.468022234202	13.350233150075127
34	2.174751721484161	4.442651256490317	3.0	3.0	1	0	1	0	3.0	5.541263545158426	10.8118447	106.7909208	1	1055.9303396129592	6.06567982694369
35	1.589235205116581	5.298317366548036	5.0	5.0	0	0	1	0	5.0	6.907755278982137	10.9030090172677	106.671871317817	1	1045.1292557609042	10.685608274412209
36	1.308332819650179	3.58351893845611	2.0	2.0	0	0	1	1	2.0	4.276666119016055	10.7580332	106.6721922	1	1061.2343171912423	14.134256625265056
37	2.833213344056216	4.465908118654584	4.0	5.0	0	0	1	1	2.0	5.159055299214529	10.7420106	106.713689	1	1063.2305562422123	13.356107096885484
38	1.1631508098056809	4.174387269895637	5.0	4.0	0	0	0	0	5.0	5.783825182329737	10.7517835	106.7066794	1	1062.107305764262	12.6527259763767
39	1.916922612182061	4.174387269895637	2.0	2.0	0	0	1	1	4.0	5.560681631015528	10.7256091	106.6982115	1	1064.96929820635	15.684070423914445
40	2.388762789235098	4.3694478524670215	3.0	3.0	0	0	1	0	3.0	5.4680601411351315	10.7952754	106.6773989	1	1057.1238140049559	10.85726644949193
41	2.2512917986064953	3.6888794541139363	5.0	6.0	1	0	0	0	7.0	5.634789603169249	10.8256869	106.7042991	1	1053.8867745990087	6.532032056054039
42	2.0541237336955462	4.30406509320417	3.0	2.0	1	0	0	0	1.0	4.30406509320417	10.7551671	106.7166483	1	1061.7856002431602	11.874167384763243
43	1.8718021769015913	3.5553480614894135	3.0	5.0	1	0	1	1	5.0	5.1647859739235145	20.9935474	105.8062968	0	88.57325153013069	1131.9580725663488
44	1.7047480922384253	4.248495242049359	3.0	3.0	0	0	1	0	4.0	5.634789603169249	10.7544441	106.6432604	1	1061.4928364005712	16.63156407129467
45	1.6094379124341003	3.5553480614894135	5.0	5.0	0	0	1	1	5.0	5.1647859739235145	21.0379862	105.7737345	0	94.52821527367787	1137.1938321227358
46	3.258096538021482	5.598421958998375	4.0	4.0	0	0	0	1	3.0	6.697034247666484	10.8720024	106.6201593	1	1048.3264267584696	15.00190151010894
47	1.8718021769015913	4.02535169073515	3.0	3.0	1	0	0	0	3.0	5.123963979403259	10.843909	106.7441048	1	1052.0863260496594	1.7894898996012645
48	2.1041341542702074	3.6888794541139363	4.0	4.0	1	0	1	0	5.0	5.298317366548036	10.7567109	106.7098909	1	1061.577373417699	12.007575025062089
49	2.509599262378372	4.499809670330265	4.0	5.0	0	0	1	0	3.4	5.723585101952381	10.7415526	106.7038493	1	1063.2284207047358	13.814562185261924
50	1.9878743481543455	4.0943445622221	2.0	2.0	0	0	1	0	2.8	5.123963979403259	10.7997157	106.6407484	1	1056.451720298312	14.024796929871366
51	1.3609765531356006	3.8918202981106265	3.0	2.0	1	0	1	0	2.0	4.584967478670572	10.8434536	106.6511637	1	1051.6423513898596	11.557103254196345
52	3.1135153092103742	5.298317366548036	4.0	4.0	0	0	1	0	3.0	6.396929655216146	10.8076538	106.786827	1	1056.3698284525924	6.185810298029576
53	1.599387576580599	3.7376696182833684	2.0	2.0	0	0	1	0	10.0	6.040254711277414	10.8008403	106.6276556	1	1056.2663938999121	15.275706271090046
54	1.824549292051046	3.4011973816621555	5.0	5.0	0	0	0	0	5.0	5.0106352940962555	10.8011196	106.6851508	1	1056.5143724311633	9.789926847817673
55	2.6026896854443837	4.174387269895637	3.0	3.0	1	0	1	0	5.2	5.823045895483019	10.8064236	106.7070776	1	1056.0411312983726	7.593004900680641
56	2.1400661634962708	4.7535901911063645	4.0	4.0	1	0	1	0	3.0	5.8522024797744745	10.8569678	106.6202758	1	1049.9973095925268	14.86612728469749
57	0.6678293725756554	2.8903717578961645	2.0	2.0	1	0	0	0	3.0	3.9889840465642745	10.7836014	106.6474124	1	1058.2733017861303	14.279923548327606
58	1.252762968495368	4.31748811353631	3.0	4.0	0	0	0	0	3.0	5.41610040220442	20.9342841	106.7094315	0	88.47186009208647	1120.8263646624023
